College code,College Name,District ID
1216,Saveetha Engineering College (Autonomous),27
1321,Central Institute of Petrochemicals Engineering and Technology (Formerly Central Institute of Plastics Engineering and Technology) (CIPET),10
2702,Bannari Amman Institute of Technology (Autonomous),17
1120,Velammal Engineering College (Autonomous),10
2734,S N S College of Engineering (Autonomous),14
2761,United Institute of Technology,14
1149,St. Josephs Institute of Technology,10
1219,Sri Venkateswara College of Engineering (Autonomous),27
1140,Jeppiaar Institute of Technology,27
2622,V S B Engineering College,39
2665,Mahendra Institute of Engineering and Technology,9
2712,Kumaraguru College of Technology (Autonomous),14
1026,University College of Engineering,27
2718,Sri Krishna College of Enginering and Technology (Autonomous),14
2725,Sri Ramakrishna Institute of Technology (Autonomous),14
2710,Karpagam College of Engineering (Autonomous),14
1211,Rajalakshmi Engineering College (Autonomous),27
2343,Indian Institute of Handloom Technology,2
2721,Tamilnadu College of Engineering,14
1113,R M K Engineering College (Autonomous),1
1432,Rajalakshmi Institute of Technology,27
5009,Government College of Engineering,19
2006,PSG College of Technology (Autonomous),14
4974,Government College of Engineering,16
3464,Government College of Engineering,4
2007,Coimbatore Institute of Technology (Autonomous),14
5008,Thiagarajar College of Engineering (Autonomous),32
5017,University College of Engineering,37
4,University Departments of Anna University,29
2602,Annai Mathammal Sheela Enginereing College,9
2643,Bharathiyar Institute of Engineering for Women,2
5022,University College of Engineering,28
3817,Roever Engineering College,33
1313,Shree Motilal Kanhaiyalal (SMK)Fomra Institute of Technology,29
1013,University College of Engineering,6
2620,Vivekanandha College of Engineering for Women (Autonomous),9
3814,P R Engineering College,4
3019,University College of Engineering,31
3454,Sri Ramakrishna College of Engineering,33
2360,Suguna College of Engineering,14
1231,Panimalar Institute of Technology,10
1306,Jeppiar Engineering College,10
2768,Park College of Technology,14
1118,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous),10
1014,University College of Engineering,6
2732,INFO Institute of Engineering,14
2735,Karpagam Institute of Technology,14
5862,R V S Educational TrustÕs Groups of Institutions (Integrated Campus),28
2764,K P R Institute of Engineering and Technology (Autonomous),14
2740,Hindustan Institute of Technology (Autonomous),14
2618,Sona College of Technology (Autonomous),2
3820,Trichy Engineering College,24
1311,K C G College of Technology,10
3811,M I E T Engineering College,24
2762,Jansons Institute of Technology,14
4969,SCAD College of Engineering and Technology,16
